username,date,full_display_text
ikrimah114,07/03/2026 09:01,"""""A new generation of lunatics is coming to the world.

The most disgusting people on earth. 
""
--------------

Looks like the hillybillys from Wrong Turn and the Hills have eyes 
But you know what the worst part about this is? 
These ppl control the established world order"
ikrimah114,06/03/2026 23:00,"""""Don't give the Turks what they want, they are itching for it 
""
--------------

It will look completely different than that 
Arming militias, coups and civil war 
This is what they want"
ikrimah114,06/03/2026 22:25,"""""Condoleezza Rice, former U.S. Secretary of State, was seen walking into the White House.

Source: CNN 
""
--------------

Iblis is serious, calls his team to the table"
ikrimah114,06/03/2026 15:30,"Reminder
One trait of nifaq is to transgress when arguing
(using racism, vile language etc)
Some ppl here claim Islam yet act disgusting when there’s disagreement
This is a sign of nifaq
Behave for your own sake
As Nifaq is cancerous and spreads until you become a full munafiq"
ikrimah114,06/03/2026 13:13,"""""You can tell @TuckerCarlson is fuming hard…  I can’t blame him after watching those cultish maniacs. 
""
--------------

Tucker should be taken with a grain of salt 
He and his family is still part of MAGA movement and established in the current administration (his son with JD Vance) plus he’s very good on terms with Hegseth
He even wrote a book review for Hegseth‘s books about American cruade etc"
ikrimah114,06/03/2026 13:07,"""""🤣🤣🤣🤣🤣🤣🤣 
""
--------------

This movie was insulting Muslims
They portrayed a Muslim mutabarijah who’s sleeping with non Muslim man as a honeypot trap of jihadists 

The funny thing is; they do it themselves 
Everyone knows that Mossad does this and others too
Projecting their degeneracy onto Muslims"
ikrimah114,06/03/2026 13:02,"""""JUSTICE THE AMERICAN WAY. 🇺🇸🔥 
""
--------------

And you wanna tell me that millennials are not equally retarded as boomers? 
This is clearly the work of a millenial with low testosterone"
ikrimah114,06/03/2026 11:17,"""""Why are there no Sunni mosques in Tehran? Never knew this. SubhanAllah where do the Sunnis pray or how do they do Tarawee &amp; Jummah?""
""
--------------

Good morning, darling 
Where was your curiosity some weeks ago?"
ikrimah114,06/03/2026 10:56,"""""Most Muslims don't understand that Shias getting weaker and defeated is in favour of the Ummah.""
""
--------------

True 
But what about crusaders and your Zionist cousins getting stronger 
Also in favour of the Ummah?"
One_Dawah,28/02/2026 16:49,"[Retweeted]
""No matter what happens in the world, don’t let it stop you from increasing your acts of worship during this blessed Ramadan"""
One_Dawah,28/02/2026 16:48,"No matter what happens in the world, don’t let it stop you from increasing your acts of worship during this blessed Ramadan"
One_Dawah,28/02/2026 10:38,"[Retweeted]
""May Allah protect our countries, the Muslims, the weak, the oppressed, the innocent and deal with the wicked oppressors"""
One_Dawah,28/02/2026 10:38,"May Allah protect our countries, the Muslims, the weak, the oppressed, the innocent and deal with the wicked oppressors"
One_Dawah,27/02/2026 13:33,"[Retweeted]
""Islam is the only true religion"""
One_Dawah,27/02/2026 13:32,Islam is the only true religion
One_Dawah,25/02/2026 20:29,"[Retweeted]
""The thieves of Ramadan"
One_Dawah,25/02/2026 20:29,The thieves of Ramadan
One_Dawah,25/02/2026 17:54,"[Retweeted]
""Zio-Emiratism is a tool of 🇮🇱

The reality, as i stated before, is that many of these 🇮🇱 funded Emiratis hate Islam and Tawheed

May Allah have mercy on Shaykh Muhammad Ibn Abdulwahhab

He is free from the lies you associate with him"""
